corridor,name,subtitle,dest_lat,dest_lon,n_source_isos,n_source_countries,min_total_cost,median_total_cost,p25_total_cost,p75_total_cost,min_gen_cost,median_gen_cost,min_transport_cost,median_transport_cost,best_source_country,dominant_mode,within_cap_points,colour,scenario,year
A,Corridor A,North Africa & Middle East via Italy,41.9,12.5,19,19,3.5018147106083273,6.316870563841394,5.0027055614717,6.855384334700766,2.5930764597949656,4.771592148301059,0.5999694628032692,1.5278432563692999,MAR,H2 Gas,454,#E63946,Ambitious,2025
B,Corridor B,"Iberian Gateway (SW Europe, Africa & Americas)",37.26,-6.94,27,27,3.7008357988344436,6.013160701442805,5.713533410635762,7.155285140805109,2.493260397872049,4.208328888959566,0.21629999999999996,1.7724033129830246,MAR,NH3,1355,#F4A261,Ambitious,2025
C,Corridor C,North Sea Hub (Global Seaborne),51.92,4.48,132,127,4.01935381372421,6.804285076450971,5.961540891964769,8.408635960568464,2.254631119317482,4.39585448333384,1.572397422261285,2.194294519799654,USA,NH3,5140,#2196F3,Ambitious,2025
D,Corridor D,"Nordic, Baltic & Atlantic (Offshore Wind)",53.55,9.99,5,3,3.470527514947498,5.776814878037178,4.983476011741137,6.2825115385164505,2.3406834132922785,3.8832357213622566,0.8174036413688548,1.8237719518456128,GBR,NH3,219,#4CAF50,Ambitious,2025
E,Corridor E,"SE Europe, Ukraine & Middle East Gateway",48.21,16.37,16,16,3.798755874445293,6.774703198880406,6.348799007349709,7.316212355779768,2.8283618175411376,4.690068004857348,0.6493595721292902,2.089812128631583,TUR,NH3,672,#9C27B0,Ambitious,2025
EU,EU Domestic,EU Domestic Production,,,27,23,2.293607916881449,5.003879912341099,4.311518041266105,5.880806845545923,2.293607916881449,5.003879912341099,0.0,0.0,-99,Domestic,315,#009688,Ambitious,2025
A,Corridor A,North Africa & Middle East via Italy,41.9,12.5,19,17,3.370323682018273,4.9803033676694035,4.537105476142387,5.842088138020452,2.4621391882462174,3.567772330756204,0.5999694628032692,1.3489891925564643,MAR,H2 Gas,267,#E63946,Ambitious,2027
B,Corridor B,"Iberian Gateway (SW Europe, Africa & Americas)",37.26,-6.94,27,26,3.5453987090254886,5.595852049311116,5.388300795334774,5.856785061643048,2.3705285213532856,3.761450240581988,0.21629999999999996,1.772193854694735,MAR,NH3,902,#F4A261,Ambitious,2027
C,Corridor C,North Sea Hub (Global Seaborne),51.92,4.48,132,90,3.906002336743683,5.948020219297365,5.538097042151291,6.726442186644565,2.1403091749392855,3.728325940956119,1.572397422261285,2.121114496907377,USA,NH3,3223,#2196F3,Ambitious,2027
D,Corridor D,"Nordic, Baltic & Atlantic (Offshore Wind)",53.55,9.99,5,3,3.3468331100121977,5.499514637738598,4.740733283953933,5.863312360021392,2.2255779030761125,3.6392449179765256,0.8174036413688548,1.8011821005178632,GBR,NH3,190,#4CAF50,Ambitious,2027
E,Corridor E,"SE Europe, Ukraine & Middle East Gateway",48.21,16.37,16,13,3.649881757030121,6.168070383922764,5.258790880005101,6.72303239989243,2.6945795050725847,3.9118944937326146,0.6746669057117312,2.2101665293146784,TUR,NH3,315,#9C27B0,Ambitious,2027
EU,EU Domestic,EU Domestic Production,,,27,18,2.1869504576825456,4.633656897233408,3.9038961788049655,5.128384361707714,2.1869504576825456,4.633656897233408,0.0,0.0,-99,Domestic,249,#009688,Ambitious,2027
A,Corridor A,North Africa & Middle East via Italy,41.9,12.5,19,15,3.0333350934364036,4.302781951538755,3.920973433905076,4.906683860144638,2.1284443754001203,2.9537543883692674,0.5999694628032692,1.3410092089223569,MAR,H2 Gas,250,#E63946,Ambitious,2030
B,Corridor B,"Iberian Gateway (SW Europe, Africa & Americas)",37.26,-6.94,27,23,2.986215043766671,4.8721982880382795,4.66981260602302,5.074533886390743,2.057544910285291,3.0759124068313293,0.21629999999999996,1.768929695675257,MAR,NH3,642,#F4A261,Ambitious,2030
C,Corridor C,North Sea Hub (Global Seaborne),51.92,4.48,132,78,3.6177730961694627,5.155958799069528,4.858116349068764,5.8427151636717,1.8501510670752663,3.0852529073682042,1.572397422261285,2.0235576160720528,USA,NH3,2303,#2196F3,Ambitious,2030
D,Corridor D,"Nordic, Baltic & Atlantic (Offshore Wind)",53.55,9.99,5,3,3.0302671319335466,4.764786300038616,4.1100014448132125,5.10424408296316,1.9325400745397971,2.9850414400861753,0.8174036413688548,1.7615730537202765,GBR,NH3,127,#4CAF50,Ambitious,2030
E,Corridor E,"SE Europe, Ukraine & Middle East Gateway",48.21,16.37,16,13,3.2673311325468726,5.199416163744896,4.63466684420262,5.83393627034979,2.3513473738761856,3.156991881354506,0.6832123203259945,2.10512417694638,TUR,NH3,214,#9C27B0,Ambitious,2030
EU,EU Domestic,EU Domestic Production,,,27,17,1.914550821711679,3.918811466471463,3.4945810546402334,4.355138675001051,1.914550821711679,3.918811466471463,0.0,0.0,-99,Domestic,233,#009688,Ambitious,2030
A,Corridor A,North Africa & Middle East via Italy,41.9,12.5,19,19,2.8734946974820765,4.919655622504216,3.981252667313182,5.32407042255579,1.9712753107640097,3.3252469424046036,0.5999694628032692,1.5278432563692999,MAR,H2 Gas,472,#E63946,Ambitious,2035
B,Corridor B,"Iberian Gateway (SW Europe, Africa & Americas)",37.26,-6.94,27,27,2.6825833294643475,4.777388114259409,4.51153291023023,5.812664301506592,1.9083455974607804,2.9474074557337926,0.21629999999999996,1.7724870839411706,MAR,NH3,1422,#F4A261,Ambitious,2035
C,Corridor C,North Sea Hub (Global Seaborne),51.92,4.48,132,126,3.4789305796759695,5.547855698762218,4.838929146417286,6.733838656690202,1.7109301535794723,3.1685972919437746,1.572397422261285,2.1873381567957106,USA,NH3,5303,#2196F3,Ambitious,2035
D,Corridor D,"Nordic, Baltic & Atlantic (Offshore Wind)",53.55,9.99,5,3,2.8788490778068723,4.873232622143039,4.343675624034379,5.032881185885963,1.7915605095632263,2.9649179714079956,0.8174036413688548,1.8237719518456128,GBR,NH3,219,#4CAF50,Ambitious,2035
E,Corridor E,"SE Europe, Ukraine & Middle East Gateway",48.21,16.37,16,16,3.088740594101594,5.569273252184566,5.076608852799549,6.084169167671804,2.188764698619252,3.4184785129884228,0.6493595721292902,2.003847157988666,TUR,NH3,706,#9C27B0,Ambitious,2035
EU,EU Domestic,EU Domestic Production,,,27,23,1.7811901648924415,3.709804763036728,3.373020627985289,4.397559226361249,1.7811901648924415,3.709804763036728,0.0,0.0,-99,Domestic,316,#009688,Ambitious,2035
A,Corridor A,North Africa & Middle East via Italy,41.9,12.5,19,19,2.73450664073268,4.636573922414291,3.8230515142129127,5.118222387212118,1.8351973942543722,3.002942256197998,0.5999694628032692,1.56531666986788,MAR,H2 Gas,520,#E63946,Ambitious,2040
B,Corridor B,"Iberian Gateway (SW Europe, Africa & Americas)",37.26,-6.94,27,27,2.418239252728737,4.5066872950131565,4.222201176793883,5.621097558154479,1.7411430535621824,2.6939665814339095,0.21629999999999996,1.7724870839411706,MAR,NH3,1538,#F4A261,Ambitious,2040
C,Corridor C,North Sea Hub (Global Seaborne),51.92,4.48,132,128,3.3594403419903616,5.2715346617229155,4.5656639160089565,6.370516311539955,1.5912576559875036,2.883323217975973,1.572397422261285,2.1892680851560606,USA,NH3,5521,#2196F3,Ambitious,2040
D,Corridor D,"Nordic, Baltic & Atlantic (Offshore Wind)",53.55,9.99,5,3,2.7475542976934535,4.55118148594952,4.1997725144915465,4.699506845240094,1.670063862564214,2.658775920159333,0.8174036413688548,1.8237719518456128,GBR,NH3,219,#4CAF50,Ambitious,2040
E,Corridor E,"SE Europe, Ukraine & Middle East Gateway",48.21,16.37,16,16,2.9325886886816273,5.289999980430448,4.72229291736781,5.762851691127823,2.0001283341455705,3.0798033075409257,0.6493595721292902,2.0021327004197955,TUR,NH3,711,#9C27B0,Ambitious,2040
EU,EU Domestic,EU Domestic Production,,,27,23,1.666223815186049,3.4476695169721943,3.075079501896204,4.044636475785919,1.666223815186049,3.4476695169721943,0.0,0.0,-99,Domestic,328,#009688,Ambitious,2040
A,Corridor A,North Africa & Middle East via Italy,41.9,12.5,19,19,2.612689251837233,4.326133703841214,3.572855794217161,4.767470804169899,1.7164831935367095,2.6812891450491585,0.5999694628032692,1.569074985112832,MAR,H2 Gas,525,#E63946,Ambitious,2045
B,Corridor B,"Iberian Gateway (SW Europe, Africa & Americas)",37.26,-6.94,27,27,2.1873626260025363,4.224522650892464,3.9522997826785957,5.218956272295858,1.546574225174981,2.404972885427278,0.21629999999999996,1.7724870839411706,MAR,NH3,1543,#F4A261,Ambitious,2045
C,Corridor C,North Sea Hub (Global Seaborne),51.92,4.48,132,128,3.2557580887210555,4.9561663556254665,4.2989121010221325,5.987701773370111,1.4875605071663858,2.579962242805885,1.572397422261285,2.189011238157981,USA,NH3,5528,#2196F3,Ambitious,2045
D,Corridor D,"Nordic, Baltic & Atlantic (Offshore Wind)",53.55,9.99,5,3,2.6327750479938263,4.273151104198607,4.0727256141642965,4.406542953173592,1.5644950630586936,2.376759903642416,0.8174036413688548,1.8237719518456128,GBR,NH3,219,#4CAF50,Ambitious,2045
E,Corridor E,"SE Europe, Ukraine & Middle East Gateway",48.21,16.37,16,16,2.795041217019982,4.975774243608809,4.41711629956529,5.454102524930855,1.7780938118809677,2.7629393294494653,0.6493595721292902,2.0021327004197955,TUR,NH3,711,#9C27B0,Ambitious,2045
EU,EU Domestic,EU Domestic Production,,,27,23,1.5662356749962214,3.1616562940622157,2.7874965075567824,3.682569615740407,1.5662356749962214,3.1616562940622157,0.0,0.0,-99,Domestic,328,#009688,Ambitious,2045
A,Corridor A,North Africa & Middle East via Italy,41.9,12.5,19,19,2.4739700035475316,4.020041786961237,3.3177890026037438,4.419692145873674,1.5837950039845157,2.3915107286148483,0.5999694628032692,1.5687298203981237,LBY,H2 Gas,523,#E63946,Ambitious,2050
B,Corridor B,"Iberian Gateway (SW Europe, Africa & Americas)",37.26,-6.94,27,27,1.985180120905196,3.9682712579067574,3.7145982601422203,4.854758476658138,1.3767537770047602,2.1436388528051733,0.21629999999999996,1.7724870839411706,MAR,NH3,1541,#F4A261,Ambitious,2050
C,Corridor C,North Sea Hub (Global Seaborne),51.92,4.48,132,128,3.1528457665909073,4.67861268139497,4.062381529627326,5.630807493423105,1.3767537770047602,2.311451288299129,1.572397422261285,2.189011238157981,CHL,NH3,5524,#2196F3,Ambitious,2050
D,Corridor D,"Nordic, Baltic & Atlantic (Offshore Wind)",53.55,9.99,5,3,2.5316966911440053,4.022446290130041,3.870381575772046,4.1397856023851265,1.4720864005303507,2.1515830081698457,0.8174036413688548,1.8237719518456128,GBR,NH3,219,#4CAF50,Ambitious,2050
E,Corridor E,"SE Europe, Ukraine & Middle East Gateway",48.21,16.37,16,16,2.6730830555381973,4.691941482406133,4.148479473099943,5.156458176509135,1.5837950039845157,2.497861554819193,0.6493595721292902,2.0021327004197955,TUR,NH3,711,#9C27B0,Ambitious,2050
EU,EU Domestic,EU Domestic Production,,,27,23,1.478577671097381,2.8608078806148276,2.50868134115342,3.327759691488875,1.478577671097381,2.8608078806148276,0.0,0.0,-99,Domestic,328,#009688,Ambitious,2050
A,Corridor A,North Africa & Middle East via Italy,41.9,12.5,19,19,3.5018147106083277,6.381718210803051,5.03562869671973,6.911812287971184,2.5930764597949665,4.799792105431337,0.5999694628032692,1.5281484265051246,MAR,H2 Gas,472,#E63946,Intermediate,2025
B,Corridor B,"Iberian Gateway (SW Europe, Africa & Americas)",37.26,-6.94,27,27,3.7008357988344436,6.0571172140145215,5.720905471493734,7.392834824283074,2.4932603978720493,4.237749624476396,0.21629999999999996,1.7724870839411706,MAR,NH3,1417,#F4A261,Intermediate,2025
C,Corridor C,North Sea Hub (Global Seaborne),51.92,4.48,132,127,4.01935381372421,6.87184302710963,5.979258268100782,8.467779765729379,2.254631119317482,4.454961251237446,1.572397422261285,2.190557975251486,USA,NH3,5304,#2196F3,Intermediate,2025
D,Corridor D,"Nordic, Baltic & Atlantic (Offshore Wind)",53.55,9.99,5,3,3.4705275149474986,5.776814878037179,4.983476011741138,6.282511538516449,2.340683413292279,3.8832357213622575,0.8174036413688548,1.8237719518456128,GBR,NH3,219,#4CAF50,Intermediate,2025
E,Corridor E,"SE Europe, Ukraine & Middle East Gateway",48.21,16.37,16,16,3.798755874445293,6.7928195238721205,6.388763445249487,7.423769238285692,2.828361817541138,4.729010581663907,0.6493595721292902,2.008987510833525,TUR,NH3,704,#9C27B0,Intermediate,2025
EU,EU Domestic,EU Domestic Production,,,27,23,2.293607916881449,5.027792309026484,4.348091778601075,5.896628417748366,2.293607916881449,5.027792309026484,0.0,0.0,-99,Domestic,320,#009688,Intermediate,2025
A,Corridor A,North Africa & Middle East via Italy,41.9,12.5,19,18,3.3703236820182716,5.080743991029463,4.568435839644291,6.015969187173184,2.462139188246217,3.64259424264077,0.5999694628032692,1.3727250610836341,MAR,H2 Gas,298,#E63946,Intermediate,2027
B,Corridor B,"Iberian Gateway (SW Europe, Africa & Americas)",37.26,-6.94,27,26,3.545398709025488,5.624230052599052,5.411901977320504,5.964283125405718,2.3705285213532856,3.7834046455731567,0.21629999999999996,1.7716500120455578,MAR,NH3,1025,#F4A261,Intermediate,2027
C,Corridor C,North Sea Hub (Global Seaborne),51.92,4.48,132,101,3.9060023367436827,6.136327015072033,5.604845462210429,7.189762071026353,2.140309174939285,3.8090750410204492,1.572397422261285,2.1700369756110147,USA,NH3,3871,#2196F3,Intermediate,2027
D,Corridor D,"Nordic, Baltic & Atlantic (Offshore Wind)",53.55,9.99,5,3,3.3468331100121973,5.624087191770572,4.850894157381765,6.046366072721846,2.225577903076112,3.7295318990810733,0.8174036413688548,1.8237719518456128,GBR,NH3,219,#4CAF50,Intermediate,2027
E,Corridor E,"SE Europe, Ukraine & Middle East Gateway",48.21,16.37,16,14,3.64988175703012,6.321241080271989,5.631792051386197,6.965135952843365,2.6945795050725847,4.161691124554882,0.6493595721292902,2.2667624245545994,TUR,NH3,431,#9C27B0,Intermediate,2027
EU,EU Domestic,EU Domestic Production,,,27,23,2.1869504576825447,4.66766551912754,3.9437360455063013,5.238917909442875,2.1869504576825447,4.66766551912754,0.0,0.0,-99,Domestic,271,#009688,Intermediate,2027
A,Corridor A,North Africa & Middle East via Italy,41.9,12.5,19,17,3.0333350934364045,4.439168623792117,3.9555598315632308,5.13928202533382,2.1284443754001208,2.9911769009970466,0.5999694628032692,1.347487709517621,MAR,H2 Gas,273,#E63946,Intermediate,2030
B,Corridor B,"Iberian Gateway (SW Europe, Africa & Americas)",37.26,-6.94,27,26,2.9862150437666712,4.966258090114053,4.7832515635424135,5.214203218694276,2.0575449102852916,3.133503655615445,0.21629999999999996,1.7721798717040678,MAR,NH3,938,#F4A261,Intermediate,2030
C,Corridor C,North Sea Hub (Global Seaborne),51.92,4.48,132,91,3.617773096169463,5.395707642366956,4.990736948072035,6.1572552602013735,1.8501510670752668,3.1478826821756556,1.572397422261285,2.139356503066754,USA,NH3,3435,#2196F3,Intermediate,2030
D,Corridor D,"Nordic, Baltic & Atlantic (Offshore Wind)",53.55,9.99,5,3,3.0302671319335475,5.155506400850726,4.446980187237356,5.36839143884877,1.9325400745397976,3.264876800069563,0.8174036413688548,1.834914541563418,GBR,NH3,211,#4CAF50,Intermediate,2030
E,Corridor E,"SE Europe, Ukraine & Middle East Gateway",48.21,16.37,16,13,3.2673311325468726,5.726009934336481,4.909238179036563,6.2741637032767335,2.351347373876186,3.5168262517933164,0.6746669057117312,2.2413906837898687,TUR,NH3,347,#9C27B0,Intermediate,2030
EU,EU Domestic,EU Domestic Production,,,27,19,1.9145508217116796,3.93961897252692,3.504791759231277,4.445332505789285,1.9145508217116796,3.93961897252692,0.0,0.0,-99,Domestic,255,#009688,Intermediate,2030
A,Corridor A,North Africa & Middle East via Italy,41.9,12.5,19,19,2.873494697482076,5.014221721279066,4.067107894578175,5.5872521386529606,1.971275310764009,3.3803273303122148,0.5999694628032692,1.569074985112832,MAR,H2 Gas,525,#E63946,Intermediate,2035
B,Corridor B,"Iberian Gateway (SW Europe, Africa & Americas)",37.26,-6.94,27,27,2.682583329464347,4.83780091810982,4.525863749014773,6.082632885459983,1.9083455974607793,3.027658265198721,0.21629999999999996,1.7724870839411706,MAR,NH3,1543,#F4A261,Intermediate,2035
C,Corridor C,North Sea Hub (Global Seaborne),51.92,4.48,132,130,3.4789305796759695,5.632806094200264,4.866520839943011,6.806676595218307,1.7109301535794716,3.217755959060951,1.572397422261285,2.1885561929660584,USA,NH3,5534,#2196F3,Intermediate,2035
